year,sex,means_of_travel,aggregate_town_or_rural_area,time_leaving_home,age,edu_level,value
2011,Male,motorbike,Aggregate Town Area,09:01 - 09:30,5 to 12,primary-school,0
2011,Male,motorbike,Aggregate Town Area,09:01 - 09:30,13 to 18,leaving-cert,5
2011,Male,motorbike,Aggregate Town Area,09:01 - 09:30,>=19,university,60
2011,Male,motorbike,Aggregate Town Area,After 09:30,>=15,junior-cert,648
2011,Male,motorbike,Aggregate Town Area,After 09:30,5 to 12,primary-school,0
2011,Male,motorbike,Aggregate Town Area,After 09:30,13 to 18,leaving-cert,3
2011,Male,motorbike,Aggregate Town Area,After 09:30,>=19,university,77
2011,Male,motorbike,Aggregate Town Area,na,>=15,junior-cert,86
2011,Male,motorbike,Aggregate Town Area,na,5 to 12,primary-school,0
2011,Male,motorbike,Aggregate Town Area,na,13 to 18,leaving-cert,0
2011,Male,motorbike,Aggregate Town Area,na,>=19,university,3
2011,Male,motorbike,Aggregate Rural Area,Before 06:30,>=15,junior-cert,125
2011,Male,motorbike,Aggregate Rural Area,Before 06:30,5 to 12,primary-school,0
2011,Male,motorbike,Aggregate Rural Area,Before 06:30,13 to 18,leaving-cert,0
2011,Male,motorbike,Aggregate Rural Area,Before 06:30,>=19,university,1
2011,Male,motorbike,Aggregate Rural Area,06:30 - 07:00,>=15,junior-cert,127
2011,Male,motorbike,Aggregate Rural Area,06:30 - 07:00,5 to 12,primary-school,0
2011,Male,motorbike,Aggregate Rural Area,06:30 - 07:00,13 to 18,leaving-cert,0
2011,Male,motorbike,Aggregate Rural Area,06:30 - 07:00,>=19,university,4
2011,Male,motorbike,Aggregate Rural Area,07:01 - 07:30,>=15,junior-cert,150
2011,Male,motorbike,Aggregate Rural Area,07:01 - 07:30,5 to 12,primary-school,0
2011,Male,motorbike,Aggregate Rural Area,07:01 - 07:30,13 to 18,leaving-cert,3
2011,Male,motorbike,Aggregate Rural Area,07:01 - 07:30,>=19,university,9
2011,Male,motorbike,Aggregate Rural Area,07:31 - 08:00,>=15,junior-cert,248
2011,Male,motorbike,Aggregate Rural Area,07:31 - 08:00,5 to 12,primary-school,0
2011,Male,motorbike,Aggregate Rural Area,07:31 - 08:00,13 to 18,leaving-cert,11
2011,Male,motorbike,Aggregate Rural Area,07:31 - 08:00,>=19,university,9
2011,Male,motorbike,Aggregate Rural Area,08:01 - 08:30,>=15,junior-cert,207
