year,sex,home,travelling_time,age_range,edu_status,value
2011,Male,Waterford City and County,0.125,5-12,at primary school,4345
2011,Male,Waterford City and County,0.125,13-18,at secondary school,1741
2011,Male,Waterford City and County,0.125,19-66,at university,757
2011,Male,Waterford City and County,0.275,15-66,working,6805
2011,Male,Waterford City and County,0.275,5-12,at primary school,1523
2011,Male,Waterford City and County,0.275,13-18,at secondary school,1657
2011,Male,Waterford City and County,0.275,19-66,at university,809
2011,Male,Waterford City and County,0.375,15-66,working,2586
2011,Male,Waterford City and County,0.375,5-12,at primary school,277
2011,Male,Waterford City and County,0.375,13-18,at secondary school,493
2011,Male,Waterford City and County,0.375,19-66,at university,298
2011,Male,Waterford City and County,0.525,15-66,working,840
2011,Male,Waterford City and County,0.525,5-12,at primary school,25
2011,Male,Waterford City and County,0.525,13-18,at secondary school,68
2011,Male,Waterford City and County,0.525,19-66,at university,68
2011,Male,Waterford City and County,1.25,15-66,working,1023
2011,Male,Waterford City and County,1.25,5-12,at primary school,20
2011,Male,Waterford City and County,1.25,13-18,at secondary school,39
2011,Male,Waterford City and County,1.25,19-66,at university,84
2011,Male,Waterford City and County,1.3,15-66,working,552
2011,Male,Waterford City and County,1.3,5-12,at primary school,8
2011,Male,Waterford City and County,1.3,13-18,at secondary school,16
